,year,bachelors_recipients:total,bachelors_recipients:men,bachelors_recipients:women,masters_recipients:total,masters_recipients:men,masters_recipients:women,doctorate_recipients:total,doctorate_recipients:men,doctorate_recipients:women
0,1966,89.0,76.0,13.0,238.0,221.0,17.0,0,0,0
1,1967,222.0,198.0,24.0,449.0,423.0,26.0,0,0,0
2,1968,459.0,404.0,55.0,548.0,518.0,30.0,0,0,0
3,1969,933.0,812.0,121.0,1012.0,939.0,73.0,0,0,0
4,1970,1544.0,1345.0,199.0,1459.0,1324.0,135.0,0,0,0
5,1971,2388.0,2064.0,324.0,1588.0,1424.0,164.0,0,0,0
6,1972,3402.0,2941.0,461.0,1977.0,1752.0,225.0,0,0,0
7,1973,4305.0,3665.0,640.0,2113.0,1888.0,225.0,1,0,1
8,1974,4757.0,3977.0,780.0,2276.0,1983.0,293.0,0,0,0
9,1975,5039.0,4083.0,956.0,2299.0,1961.0,338.0,0,0,0
10,1976,5664.0,4540.0,1124.0,2603.0,2226.0,377.0,0,0,0
11,1977,6426.0,4887.0,1539.0,2798.0,2332.0,466.0,32,27,5
12,1978,7224.0,5360.0,1864.0,3038.0,2471.0,567.0,121,110,11
13,1979,8769.0,6306.0,2463.0,3055.0,2480.0,575.0,210,183,27
14,1980,11213.0,7814.0,3399.0,3647.0,2883.0,764.0,218,197,21
15,1981,15233.0,10280.0,4953.0,4218.0,3247.0,971.0,232,206,26
16,1982,20431.0,13316.0,7115.0,4935.0,3625.0,1310.0,220,200,20
17,1983,24682.0,15690.0,8992.0,5321.0,3813.0,1508.0,286,250,36
18,1984,32435.0,20369.0,12066.0,6190.0,4379.0,1811.0,295,258,37
19,1985,39121.0,24690.0,14431.0,7101.0,5064.0,2037.0,310,277,33
20,1986,42195.0,27069.0,15126.0,8070.0,5658.0,2412.0,399,351,48
21,1987,39927.0,26038.0,13889.0,8481.0,5985.0,2496.0,450,385,65
22,1988,34896.0,23543.0,11353.0,9166.0,6702.0,2464.0,515,459,56
23,1989,30963.0,21418.0,9545.0,9399.0,6773.0,2626.0,613,505,108
24,1990,27695.0,19321.0,8374.0,9643.0,6968.0,2675.0,705,595,110
25,1991,25410.0,17896.0,7514.0,9324.0,6563.0,2761.0,800,679,117
26,1992,24958.0,17748.0,7210.0,9655.0,6980.0,2675.0,869,747,120
27,1993,24580.0,17629.0,6951.0,10349.0,7554.0,2795.0,880,737,138
28,1994,24553.0,17533.0,7020.0,10546.0,7817.0,2729.0,903,762,137
29,1995,24769.0,17706.0,7063.0,10563.0,7777.0,2786.0,997,808,186
30,1996,24545.0,17773.0,6772.0,10613.0,7763.0,2850.0,920,775,139
31,1997,25393.0,18490.0,6903.0,10489.0,7510.0,2979.0,909,743,150
32,1998,27674.0,20235.0,7439.0,11752.0,8338.0,3414.0,927,765,159
33,1999,,,,,,,856,692,157
34,2000,37519.0,26997.0,10522.0,14986.0,9983.0,5003.0,861,717,142
35,2001,43597.0,31549.0,12048.0,16852.0,11161.0,5691.0,830,673,155
36,2002,49706.0,36016.0,13690.0,16965.0,11325.0,5640.0,809,639,167
37,2003,57926.0,42258.0,15668.0,19590.0,13335.0,6255.0,867,690,177
38,2004,59968.0,44902.0,15066.0,20208.0,13910.0,6298.0,948,749,199
39,2005,54588.0,42429.0,12159.0,18489.0,13180.0,5309.0,1129,905,221
40,2006,48000.0,38061.0,9939.0,17138.0,12520.0,4618.0,1453,1142,311
41,2007,42596.0,34652.0,7944.0,16314.0,12038.0,4276.0,1655,1323,332
42,2008,38922.0,32038.0,6884.0,17151.0,12555.0,4596.0,1787,1387,400
43,2009,38496.0,31602.0,6894.0,17988.0,13119.0,4869.0,1610,1260,349
44,2010,40107.0,32801.0,7306.0,18021.0,13058.0,4963.0,1664,1312,352
45,2011,43586.0,35886.0,7700.0,19519.0,14011.0,5508.0,1713,1350,361
46,2012,47960.0,39230.0,8730.0,21001.0,15161.0,5840.0,1845,1465,380
47,2013,50961.0,41874.0,9087.0,22782.0,16539.0,6243.0,1834,1480,354
48,2014,55271.0,45320.0,9951.0,24514.0,17472.0,7042.0,1982,1566,416
49,2015,59586.0,48844.0,10742.0,31475.0,21893.0,9582.0,1998,1548,450
50,2016,64402.0,52330.0,12072.0,40130.0,27788.0,12342.0,1989,1591,398
51,2017,71416.0,57763.0,13653.0,46553.0,32172.0,14381.0,1982,1538,444
52,2018,79597.0,63703.0,15894.0,46468.0,31397.0,15071.0,2017,1580,437
53,2019,88638.0,70322.0,18316.0,45671.0,30673.0,14998.0,2171,1674,497
54,2020,97054.0,76337.0,20717.0,51527.0,34399.0,17128.0,2368,1831,537
55,2021,104883.0,81926.0,22957.0,54174.0,35888.0,18286.0,2503,1861,642
56,2022,108503.0,83961.0,24542.0,51338.0,33899.0,17439.0,2726,2019,707
57,2023,113501.0,87388.0,26113.0,77451.0,51117.0,26334.0,2818,2074,744
